Name,Author,Rating,Reviews,Type,Price(USD),Year
A Promised Land,Barack Obama,4.9,44472,Hardcover,19.94,2020
Too Much and Never Enough: How My Family Created the World's Most Dangerous Man,Mary L. Trump Ph.D.,4.6,85837,Hardcover,19.38,2020
Where the Crawdads Sing,Delia Owens,4.8,129991,Hardcover,3.5,2020
"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",Crystal Radke,4.8,39679,Paperback,1.99,2020
Midnight Sun,Stephenie Meyer,4.8,55750,Hardcover,13.32,2020
Untamed,Glennon Doyle,4.6,34363,Hardcover,10.99,2020
If Animals Kissed Good Night,Ann Whitford Paul,4.8,31805,Board book,1.4,2020
White Fragility: Why It's So Hard for White People to Talk About Racism,Robin DiAngelo,4.5,28235,Paperback,4.54,2020
"School Zone - Big Preschool Workbook - Ages 3 to 5, Colors, Shapes, Numbers 1-10, Early Math, Alphabet, Pre-Writing, Phonics, Following Directions, and More (School Zone Big Workbook Series)",School Zone,4.8,40362,Paperback,1.83,2020
The Room Where It Happened: A White House Memoir,John Bolton,4.3,41135,Hardcover,2.71,2020
The Ballad of Songbirds and Snakes (A Hunger Games Novel),Suzanne Collins,4.7,33432,Hardcover,8.4,2020
Dog Man: Grime and Punishment: From the Creator of Captain Underpants (Dog Man #9) (9),Dav Pilkey,4.9,24685,Hardcover,6.49,2020
The Very Hungry Caterpillar,Eric Carle,4.9,31511,Board book,0.94,2020
Becoming,Michelle Obama,4.8,87695,Hardcover,4.59,2020
How to Be an Antiracist,Ibram X. Kendi,4.8,17655,Hardcover,9.27,2020
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,38489,Paperback,1.11,2020
Rage,Bob Woodward,4.7,24121,Hardcover,12,2020
Caste (Oprah's Book Club): The Origins of Our Discontents,Isabel Wilkerson,4.8,16745,Hardcover,18.2,2020
Greenlights,Matthew McConaughey,4.7,15867,Hardcover,18,2020
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,4.8,16651,Paperback,1.64,2020
American Dirt (Oprah's Book Club): A Novel,Jeanine Cummins,4.6,33595,Hardcover,11.29,2020
