"","Reviews","Price.USD.","Type"
"1",44472,19.94,"Hardcover"
"2",85837,19.38,"Hardcover"
"3",129991,3.5,"Hardcover"
"4",39679,1.99,"Paperback"
"5",55750,13.32,"Hardcover"
"6",34363,10.99,"Hardcover"
"7",31805,1.4,"Board book"
"8",28235,4.54,"Paperback"
"9",40362,1.83,"Paperback"
"10",41135,2.71,"Hardcover"
"11",33432,8.4,"Hardcover"
"12",24685,6.49,"Hardcover"
"13",31511,0.94,"Board book"
"14",87695,4.59,"Hardcover"
"15",17655,9.27,"Hardcover"
"16",38489,1.11,"Paperback"
"17",24121,12,"Hardcover"
"18",16745,18.2,"Hardcover"
"19",15867,18,"Hardcover"
"20",16651,1.64,"Paperback"
"21",33595,11.29,"Hardcover"
"22",40517,15.27,"Hardcover"
"23",39349,1.49,"Paperback"
"24",16825,3.38,"Hardcover"
"25",22924,7.87,"Hardcover"
"26",19007,1.27,"Board book"
"27",14504,1.68,"Hardcover"
"28",12334,13.48,"Hardcover"
"29",15962,2,"Hardcover"
"30",21055,0.94,"Board book"
"31",22027,0.94,"Board book"
"32",66271,1.5,"Paperback"
"33",13894,17.09,"Hardcover"
"34",30248,13.75,"Hardcover"
"35",8512,21,"Hardcover"
"36",20505,14.93,"Paperback"
"37",45329,2.75,"Paperback"
"38",20689,8.99,"Paperback"
"39",9805,1.58,"Paperback"
"40",10817,2.81,"Paperback"
"41",12700,4.31,"Hardcover"
"42",18886,7.82,"Paperback"
"43",52453,5.85,"Hardcover"
"44",9984,3.19,"Paperback"
"45",17967,1.01,"Board book"
"46",18204,15,"Hardcover"
"47",22000,5.39,"Paperback"
"48",11009,9.32,"Hardcover"
"49",12660,1.68,"Paperback"
"50",40752,19.6,"Hardcover"
"51",21965,2.35,"Paperback"
"52",14001,13.7,"Paperback"
"53",34591,4.98,"Mass Market Paperback"
"54",8214,10.08,"Hardcover"
"55",13425,0.25,"Board book"
"56",14520,1.81,"Hardcover"
"57",15681,3.17,"Paperback"
"58",38609,7.58,"Mass Market Paperback"
"59",9504,6.99,"Hardcover"
"60",13192,20,"Paperback"
"61",14084,9.47,"Paperback"
"62",12799,11.5,"Hardcover"
"63",13963,2.25,"Cards"
"64",12683,0.94,"Hardcover"
"65",22452,10,"Hardcover"
"66",9586,0.93,"Paperback"
"67",43137,3.21,"Paperback"
"68",36339,2,"Paperback"
"69",15654,14.31,"Paperback"
"70",14894,11.79,"Hardcover"
"71",11630,1.01,"Paperback"
"72",8772,5.19,"Paperback"
"73",11996,16.15,"Hardcover"
"74",11371,0.9,"Paperback"
"75",8222,3.83,"Paperback"
"76",15309,3.02,"Hardcover"
"77",29168,16.79,"Hardcover"
"78",17081,0.35,"Hardcover"
"79",16173,15.86,"Paperback"
"80",18076,1.99,"Hardcover"
"81",14325,0.35,"Board book"
"82",14706,1.22,"Board book"
"83",11459,14.91,"Hardcover"
"84",23921,5.85,"Paperback"
"85",11203,17.39,"Hardcover"
"86",10564,1.44,"Paperback"
"87",8206,7.75,"Paperback"
"88",10740,9.98,"Paperback"
"89",15957,14.75,"Paperback"
"90",12417,1.84,"Hardcover"
"91",26959,2.25,"Cards"
"92",38397,5.88,"Hardcover"
"93",27107,0.25,"Paperback"
"94",8705,3.99,"Paperback"
"95",14449,2.92,"Paperback"
"96",14233,11,"Hardcover"
"97",8914,19.85,"Hardcover"
"98",9768,2.15,"Paperback"
"99",16777,1.25,"Board book"
"100",25004,24.99,"Hardcover"
"101",129991,3.5,"Hardcover"
"102",87695,4.59,"Hardcover"
"103",40752,19.6,"Hardcover"
"104",13631,1.59,"Hardcover"
"105",24450,1.47,"Hardcover"
"106",18076,1.99,"Hardcover"
"107",12971,3.93,"Hardcover"
"108",12417,1.84,"Hardcover"
"109",40362,1.83,"Paperback"
"110",66271,1.5,"Paperback"
"111",10442,1.76,"Hardcover"
"112",45329,2.75,"Paperback"
"113",38397,5.88,"Hardcover"
"114",14001,13.7,"Paperback"
"115",11459,14.91,"Hardcover"
"116",31511,0.94,"Board book"
"117",12700,4.31,"Hardcover"
"118",11232,16.51,"Hardcover"
"119",16651,1.64,"Paperback"
"120",38489,1.11,"Paperback"
"121",7509,11.16,"Hardcover"
"122",11081,1.54,"Hardcover"
"123",21055,0.94,"Board book"
"124",31805,1.4,"Board book"
"125",17081,0.35,"Hardcover"
"126",6533,17.5,"Hardcover"
"127",8118,1.66,"Paperback"
"128",24756,11.11,"Hardcover"
"129",12205,16.93,"Hardcover"
"130",11334,1.68,"Hardcover"
"131",9974,7.99,"Paperback"
"132",20689,8.99,"Paperback"
"133",16173,15.86,"Paperback"
"134",13425,0.25,"Board book"
"135",18691,1.54,"Paperback"
"136",9999,0.7,"Paperback"
"137",12496,3.17,"Hardcover"
"138",25004,24.99,"Hardcover"
"139",52453,5.85,"Hardcover"
"140",11783,2.5,"Hardcover"
"141",36339,2,"Paperback"
"142",21065,0.76,"Paperback"
"143",7985,2.73,"Hardcover"
"144",26496,12.24,"Hardcover"
"145",19620,14.92,"Hardcover"
"146",16777,1.25,"Board book"
"147",16713,3.28,"Hardcover"
"148",22027,0.94,"Board book"
"149",15309,3.02,"Hardcover"
"150",3408,11.98,"Paperback"
"151",14449,2.92,"Paperback"
"152",38609,7.58,"Mass Market Paperback"
"153",19682,2.04,"Hardcover"
"154",16758,2.84,"Hardcover"
"155",12509,2.32,"Paperback"
"156",11653,16.44,"Paperback"
"157",26959,2.25,"Cards"
"158",22924,7.87,"Hardcover"
"159",14989,3.62,"Hardcover"
"160",16157,2.17,"Paperback"
"161",33865,9.15,"Paperback"
"162",13600,1.49,"Paperback"
"163",129991,7,"Paperback"
"164",7116,4.26,"Paperback"
"165",43137,3.21,"Paperback"
"166",10540,11.21,"Paperback"
"167",14325,0.35,"Board book"
"168",8779,13.98,"Hardcover"
"169",15733,0.94,"Board book"
"170",8118,5.87,"Paperback"
"171",15504,2.19,"Paperback"
"172",5568,15.85,"Hardcover"
"173",28189,9.99,"Hardcover"
"174",33882,12.78,"Paperback"
"175",13971,2.16,"Hardcover"
"176",6131,14.35,"Hardcover"
"177",32381,0.35,"Paperback"
"178",6841,2.57,"Paperback"
"179",11080,0.94,"Paperback"
"180",9504,6.99,"Hardcover"
"181",6054,18.6,"Hardcover"
"182",27107,0.25,"Paperback"
"183",7764,2.66,"Paperback"
"184",15510,2,"Hardcover"
"185",7995,1.4,"Hardcover"
"186",34503,4.69,"Paperback"
"187",14894,11.79,"Hardcover"
"188",14304,6.07,"Paperback"
"189",8705,3.99,"Paperback"
"190",21965,2.35,"Paperback"
"191",4288,18.95,"Hardcover"
"192",18886,7.82,"Paperback"
"193",7314,11.65,"Hardcover"
"194",14156,0.94,"Paperback"
"195",12683,0.94,"Hardcover"
"196",11371,0.9,"Paperback"
"197",5102,0.94,"Paperback"
